,MonthPE,Date,Daily_Temp,Daily_Precip,Daily_Humidity,Daily_Pressure,Daily_WindDir,Daily_WindSpeed,Daily_DNI,Daily_DHI,Daily_radiation
2020-01-12,1,2020-01-12,24.008333333333336,18.816666666666666,50.333333333333336,940.6833333333334,116.41666666666667,2.9166666666666665,408.25,170.83333333333334,420.25
2020-01-13,1,2020-01-13,24.474999999999998,20.083333333333332,52.75,938.4083333333333,266.0833333333333,2.1,174.91666666666666,251.41666666666666,356.0833333333333
2020-01-14,1,2020-01-14,23.683333333333334,20.5,59.583333333333336,938.0833333333334,289.4166666666667,1.6083333333333334,302.4166666666667,205.66666666666666,394.6666666666667
2020-01-15,1,2020-01-15,23.958333333333332,18.400000000000002,52.416666666666664,937.6750000000001,167.08333333333334,3.275,349.5833333333333,198.5,408.6666666666667
2020-01-16,1,2020-01-16,20.675,13.700000000000001,45.083333333333336,938.7583333333333,271.5833333333333,3.0416666666666665,658.3333333333334,99.25,473.6666666666667
2020-01-17,1,2020-01-17,20.375,8.674999999999999,35.833333333333336,939.5083333333333,128.58333333333334,1.8416666666666668,748.5833333333334,74.0,492.9166666666667
2020-01-18,1,2020-01-18,23.025000000000002,15.299999999999999,40.916666666666664,939.6083333333332,138.25,2.4083333333333337,583.4166666666666,121.58333333333333,464.6666666666667
2020-01-19,1,2020-01-19,24.59166666666667,18.525000000000002,44.0,940.1,119.58333333333333,1.9416666666666667,400.0833333333333,177.91666666666666,431.0
2020-01-20,1,2020-01-20,25.183333333333334,18.825,42.916666666666664,940.4250000000001,113.25,2.35,369.5,186.41666666666666,427.1666666666667
2020-01-21,1,2020-01-21,26.633333333333336,22.766666666666666,43.583333333333336,940.4499999999999,174.5,1.4083333333333332,288.75,203.41666666666666,396.5833333333333
2020-01-22,1,2020-01-22,26.308333333333334,19.099999999999998,41.166666666666664,941.875,126.25,3.1750000000000003,442.9166666666667,158.83333333333334,445.4166666666667
2020-01-23,1,2020-01-23,26.016666666666666,14.341666666666667,34.25,941.1416666666668,102.25,3.625,600.0833333333334,119.75,477.3333333333333
2020-01-24,1,2020-01-24,25.95,16.058333333333334,36.416666666666664,941.025,96.58333333333333,2.5833333333333335,605.75,116.08333333333333,478.5833333333333
2020-01-25,1,2020-01-25,26.608333333333334,20.55,33.5,940.6333333333333,81.16666666666667,1.8916666666666666,531.4166666666666,138.66666666666666,463.4166666666667
2020-01-26,1,2020-01-26,27.308333333333334,21.566666666666666,29.833333333333332,939.4250000000001,122.16666666666667,1.5583333333333333,538.5833333333334,139.83333333333334,465.3333333333333
2020-01-27,1,2020-01-27,27.116666666666664,22.691666666666666,37.5,938.0333333333333,227.66666666666666,3.5416666666666665,501.6666666666667,151.41666666666666,458.75
2020-01-28,1,2020-01-28,23.28333333333333,17.900000000000002,51.833333333333336,938.4,262.5833333333333,5.183333333333333,441.0833333333333,185.5,442.4166666666667
2020-01-29,1,2020-01-29,22.041666666666668,12.924999999999999,53.833333333333336,940.6666666666666,291.5833333333333,3.1,511.1666666666667,156.5,464.0
2020-01-30,1,2020-01-30,22.633333333333336,11.875,37.916666666666664,940.3833333333333,114.66666666666667,1.6500000000000001,739.5833333333334,79.08333333333333,511.5833333333333
2020-01-31,1,2020-01-31,24.491666666666664,13.924999999999999,35.166666666666664,938.025,174.91666666666666,2.733333333333333,689.9166666666666,94.25,505.75
2020-02-01,2,2020-02-01,24.53333333333333,15.008333333333333,38.166666666666664,938.5166666666668,91.58333333333333,1.7666666666666666,611.1666666666666,118.25,497.25
2020-02-02,2,2020-02-02,24.400000000000002,13.891666666666666,36.166666666666664,940.5749999999999,151.83333333333334,3.091666666666667,610.5833333333334,120.66666666666667,499.3333333333333
2020-02-03,2,2020-02-03,25.925,20.400000000000002,39.916666666666664,940.2666666666668,218.08333333333334,2.65,451.0,173.58333333333334,462.6666666666667
2020-02-04,2,2020-02-04,25.7,22.858333333333334,44.416666666666664,939.0083333333333,256.3333333333333,2.6333333333333333,333.1666666666667,225.08333333333334,431.9166666666667
2020-02-05,2,2020-02-05,25.28333333333333,17.966666666666665,33.333333333333336,939.65,158.33333333333334,2.5166666666666666,304.5,222.5,438.5
2020-02-06,2,2020-02-06,25.2,13.933333333333332,32.666666666666664,938.8166666666666,279.6666666666667,3.2083333333333335,613.1666666666666,126.41666666666667,508.1666666666667
2020-02-07,2,2020-02-07,23.058333333333334,8.174999999999999,26.333333333333332,939.6,295.5,2.0749999999999997,711.75,101.83333333333333,532.3333333333334
2020-02-08,2,2020-02-08,23.816666666666666,15.908333333333333,37.583333333333336,940.1833333333334,46.916666666666664,3.716666666666667,29.666666666666668,246.0,267.25
2020-02-09,2,2020-02-09,23.900000000000002,17.5,47.25,941.3416666666667,91.58333333333333,4.708333333333333,200.25,235.16666666666666,385.1666666666667
2020-02-10,2,2020-02-10,24.46666666666667,22.383333333333336,54.333333333333336,941.0749999999999,123.5,4.258333333333334,195.66666666666666,238.75,371.5833333333333
2020-02-11,2,2020-02-11,25.416666666666668,22.558333333333334,48.083333333333336,941.4333333333334,111.16666666666667,4.325,142.25,245.41666666666666,346.75
2020-02-12,2,2020-02-12,25.933333333333334,24.09166666666667,51.166666666666664,942.9166666666666,109.83333333333333,4.491666666666666,49.75,190.5,226.58333333333334
